file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\maaik\PycharmProjects\OssMetricScraping\talon-for-twitter-android\klinker24-talon-for-twitter-android-d5fc839\app\src\main\java\com\klinker\android\twitter_l\widget\TalonDashClockExtension.java,com.klinker.android.twitter_l.widget.TalonDashClockExtension$Anonymous1,anonymous,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\talon-for-twitter-android\klinker24-talon-for-twitter-android-d5fc839\app\src\main\java\com\klinker\android\twitter_l\activities\drawer_activities\DrawerActivity.java,com.klinker.android.twitter_l.activities.drawer_activities.DrawerActivity$Anonymous5,anonymous,10,10,0,10,16,1,0,27,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,78,2,0,4,4,0,3,3,6,0,2,4,0,0,0,41,-1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\talon-for-twitter-android\klinker24-talon-for-twitter-android-d5fc839\wear\src\main\java\com\klinker\android\twitter_l\view\WearableListItemLayout.java,com.klinker.android.twitter_l.view.WearableListItemLayout,class,7,7,0,7,10,2,0,10,27,0.75,0.0,0.0,10,0,9,0,1,0,10,0,0,0,6,0,0,6,0,0,3,0,0,47,3,0,0,0,2,0,5,6,1,6,0,0,0,0,47,1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\talon-for-twitter-android\klinker24-talon-for-twitter-android-d5fc839\app\src\main\java\com\klinker\android\twitter_l\activities\drawer_activities\DrawerActivity.java,com.klinker.android.twitter_l.activities.drawer_activities.DrawerActivity$Anonymous6,anonymous,2,2,0,2,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,1,0,0,0,4,6,0,4,1,4,0,0,11,-1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\talon-for-twitter-android\klinker24-talon-for-twitter-android-d5fc839\app\src\main\java\com\klinker\android\twitter_l\utils\AnalyticsHelper.java,com.klinker.android.twitter_l.utils.AnalyticsHelper,class,4,9,5,4,14,1,0,6,91,0.92857146,0.0,0.0,14,14,13,1,0,0,13,0,0,0,12,12,0,12,0,0,12,0,14,60,0,0,0,0,0,14,0,14,0,14,0,0,0,0,57,1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\talon-for-twitter-android\klinker24-talon-for-twitter-android-d5fc839\searchview\src\main\java\com\lapism\searchview\adapter\SearchItem.java,com.lapism.searchview.adapter.SearchItem$Anonymous1,anonymous,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\talon-for-twitter-android\klinker24-talon-for-twitter-android-d5fc839\app\src\main\java\com\klinker\android\twitter_l\activities\drawer_activities\DrawerActivity.java,com.klinker.android.twitter_l.activities.drawer_activities.DrawerActivity$Anonymous3,anonymous,3,3,0,3,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,8,-1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\talon-for-twitter-android\klinker24-talon-for-twitter-android-d5fc839\app\src\main\java\com\klinker\android\twitter_l\activities\drawer_activities\DrawerActivity.java,com.klinker.android.twitter_l.activities.drawer_activities.DrawerActivity$Anonymous4,anonymous,3,3,0,3,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,-1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\talon-for-twitter-android\klinker24-talon-for-twitter-android-d5fc839\wear\src\main\java\com\klinker\android\twitter_l\activity\WearActivity.java,com.klinker.android.twitter_l.activity.WearActivity,class,9,14,5,9,9,3,0,20,0,0.6,0.0,0.0,5,0,4,0,1,0,5,0,0,0,11,3,0,11,0,0,3,0,0,80,0,0,4,0,0,2,6,21,0,18,1,2,0,0,75,1,0
C:\Users\maaik\PycharmProjects\OssMetricScraping\talon-for-twitter-android\klinker24-talon-for-twitter-android-d5fc839\app\src\main\java\com\klinker\android\twitter_l\activities\drawer_activities\DrawerActivity.java,com.klinker.android.twitter_l.activities.drawer_activities.DrawerActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
